調教師CD,調教師名,全出走数,全勝率,全複勝率,穴馬出走数(7人気↓),穴馬勝率,穴馬連対率,穴馬複勝率,穴馬期待複勝率,穴馬複勝超過率,穴馬人気以上率,穴馬単勝回収率,大穴出走数(10人気↓),大穴複勝率,戦略スコア
01078,北出成人,1707,0.06033977738722906,0.21675454012888107,1009,0.017839444995044598,0.053518334985133795,0.10109018830525272,0.07575418469998688,1.3344502182368578,0.736372646184341,0.5414271555996035,656,0.04878048780487805,1.9795361090253045
01180,田中克典,1023,0.11534701857282502,0.29227761485826004,453,0.02869757174392936,0.0684326710816777,0.13245033112582782,0.09197346376446186,1.4400928888034992,0.7328918322295805,0.745916114790287,230,0.0782608695652174,1.8803906682957272
01120,千田輝彦,1493,0.06898861352980576,0.21969189551239116,936,0.022435897435897436,0.05128205128205128,0.09829059829059829,0.07673543983844498,1.2809022597320674,0.7361111111111112,1.1297008547008547,587,0.06473594548551959,1.8788284649446472
00420,宗像義忠,1429,0.05598320503848846,0.1966410076976907,920,0.01847826086956522,0.05,0.10108695652173913,0.0770882640180919,1.3113144758067836,0.7195652173913043,0.8790217391304348,580,0.06206896551724138,1.875470654588095
01178,杉山佳明,1395,0.06523297491039426,0.21935483870967742,810,0.022222222222222223,0.04691358024691358,0.10123456790123457,0.0803871580625187,1.2593375651183292,0.7555555555555555,0.642962962962963,494,0.058704453441295545,1.8559762405243387
00425,加用正,1076,0.056691449814126396,0.19330855018587362,679,0.017673048600883652,0.05743740795287187,0.10898379970544919,0.08264839439967335,1.3186438828856417,0.7128129602356407,0.5515463917525774,406,0.06157635467980296,1.785218640873854
01010,中野栄治,1195,0.05104602510460251,0.17573221757322174,824,0.012135922330097087,0.038834951456310676,0.08009708737864078,0.06631806354362003,1.2077718060322695,0.7536407766990292,0.5668689320388349,591,0.04568527918781726,1.7800057905599502
01003,川村禎彦,1257,0.0477326968973747,0.1726332537788385,821,0.0194884287454324,0.05237515225334957,0.09013398294762484,0.08031760534681527,1.1222195004248692,0.8063337393422655,0.7774665042630938,499,0.052104208416833664,1.768597964006885
01183,辻野泰之,1005,0.11442786069651742,0.30646766169154227,409,0.03178484107579462,0.07334963325183375,0.12469437652811736,0.08550339304682578,1.4583558860620738,0.6894865525672371,1.341075794621027,233,0.0944206008583691,1.761610212452383
01182,辻哲英,917,0.07415485278080698,0.2268266085059978,532,0.022556390977443608,0.04887218045112782,0.10150375939849623,0.07912866174163845,1.2827685590072824,0.7406015037593985,1.0009398496240602,342,0.06725146198830409,1.7369671466540342
01174,深山雅史,1424,0.042837078651685394,0.16151685393258428,1005,0.01691542288557214,0.04477611940298507,0.08756218905472637,0.07409981618096712,1.1816788970283185,0.7213930348258707,0.7237810945273632,668,0.05538922155688623,1.7162700699598867
01072,河内洋,1202,0.06073211314475874,0.21880199667221298,662,0.021148036253776436,0.05891238670694864,0.10574018126888217,0.08052933079771867,1.3130641993597407,0.6903323262839879,0.6297583081570997,395,0.06582278481012659,1.7149178632642141
01016,西浦勝一,333,0.06306306306306306,0.2012012012012012,203,0.034482758620689655,0.06403940886699508,0.12315270935960591,0.08205676374224097,1.5008233781490177,0.729064039408867,1.133497536945813,118,0.05084745762711865,1.6945513083230241
01039,中竹和也,1947,0.08166409861325115,0.2542372881355932,1067,0.02155576382380506,0.05435801312089972,0.09465791940018745,0.08042353890356004,1.176992714952479,0.7057169634489222,0.9130271790065605,665,0.055639097744360905,1.686782720199369
01107,村山明,1281,0.05308352849336456,0.17408274785323966,911,0.014270032930845226,0.03512623490669594,0.08122941822173436,0.0741059623934411,1.0961252724912152,0.7749725576289791,0.827113062568606,607,0.04942339373970346,1.68598802235722
01198,河嶋宏樹,450,0.04888888888888889,0.21333333333333335,277,0.01444043321299639,0.06859205776173286,0.11552346570397112,0.08164413364371885,1.4149634584659314,0.7256317689530686,0.3859205776173285,159,0.09433962264150944,1.6826263683574794
01161,武英智,1917,0.08607198748043818,0.26291079812206575,925,0.021621621621621623,0.06054054054054054,0.10378378378378378,0.08574994856211998,1.210307242442245,0.6875675675675675,0.7203243243243244,522,0.05555555555555555,1.6553454213248608
01140,石橋守,1429,0.06997900629811056,0.1966410076976907,847,0.020070838252656435,0.049586776859504134,0.08500590318772137,0.07695203740432244,1.1046608518119176,0.7615112160566706,0.8612750885478159,558,0.04838709677419355,1.6517794806100465
01073,宮本博,1441,0.07009021512838307,0.238029146426093,783,0.019157088122605363,0.05363984674329502,0.09323116219667944,0.08242439784257448,1.1311112320740908,0.7471264367816092,0.5550446998722861,456,0.03728070175438596,1.6400700202690197
01099,本田優,1920,0.06666666666666667,0.20729166666666668,1094,0.022851919561243144,0.05393053016453382,0.0923217550274223,0.079968905430575,1.1544706599438381,0.696526508226691,1.2127970749542962,662,0.05740181268882175,1.638805610687815
01095,荒川義之,1688,0.04798578199052133,0.19194312796208532,1113,0.012578616352201259,0.04043126684636118,0.07637017070979335,0.0727531074008243,1.0497169597037455,0.7619047619047619,0.4570530098831986,743,0.039030955585464336,1.633977258981898
