banusicode,banusiname,N,wins,place_2nd3rd,drops,promo_risk_count,win_rate,rate_2nd3rd,drop_rate,p_value_win,p_bh_win,p_value_2nd3rd,p_bh_2nd3rd
274002,浅沼　廣幸,90,14,19,57,79,0.15555555555555556,0.2111111111111111,0.6333333333333333,0.11254848536238796,0.8744151555077834,0.9736318779345138,0.9972659797981572
304008,小笹　公也,197,48,54,95,183,0.2436548223350254,0.27411167512690354,0.48223350253807107,0.8724687231538262,0.9998664685304478,0.7759576148310997,0.9972659797981572
306008,松岡　隆雄,201,41,51,109,161,0.20398009950248755,0.2537313432835821,0.5422885572139303,0.4183711280095282,0.9998664685304478,0.9212281289791252,0.9972659797981572
308002,飯塚　知一,100,18,33,49,91,0.18,0.33,0.49,0.25206108098362856,0.9998664685304478,0.2627262180293641,0.9972659797981572
310007,吉田　千津,230,51,69,110,199,0.2217391304347826,0.3,0.4782608695652174,0.6633518681956954,0.9998664685304478,0.4772727822046254,0.9972659797981572
320030,幅田　京子,56,13,20,23,56,0.23214285714285715,0.35714285714285715,0.4107142857142857,0.7047103532748684,0.9998664685304478,0.19640026453177334,0.8847322637023648
321004,河内　孝夫,59,11,23,25,53,0.1864406779661017,0.3898305084745763,0.423728813559322,0.3786681421666781,0.9998664685304478,0.07890120466363179,0.796902167102681
321800,友駿ホースクラブ,105,23,29,53,87,0.21904761904761905,0.2761904761904762,0.5047619047619047,0.6158644370843389,0.9998664685304478,0.7088540939261778,0.9972659797981572
329004,土井　肇,195,47,53,95,164,0.24102564102564103,0.2717948717948718,0.48717948717948717,0.8523780730513388,0.9998664685304478,0.796037751795653,0.9972659797981572
331002,国本　哲秀,265,54,80,131,244,0.2037735849056604,0.3018867924528302,0.49433962264150944,0.3921990663717819,0.9998664685304478,0.4454651596885134,0.9972659797981572
331007,幅田　昌伸,82,19,24,39,75,0.23170731707317074,0.2926829268292683,0.47560975609756095,0.7153757555071445,0.9998664685304478,0.5708560316228711,0.9972659797981572
331803,ケイアイスタリオン,81,21,16,44,80,0.25925925925925924,0.19753086419753085,0.5432098765432098,0.8746959390714342,0.9998664685304478,0.9838158965829913,0.9972659797981572
331803,亀田　和弘,58,9,18,31,58,0.15517241379310345,0.3103448275862069,0.5344827586206896,0.18181045148856617,0.9416849025818044,0.4569601350311663,0.9972659797981572
334009,小田切　有一,61,11,13,37,44,0.18032786885245902,0.21311475409836064,0.6065573770491803,0.3299540714456016,0.9998664685304478,0.9451156735547607,0.9972659797981572
338007,村野　康司,135,15,37,83,101,0.1111111111111111,0.2740740740740741,0.6148148148148148,0.0015226682233791646,0.23457464130632566,0.7437374017338504,0.9972659797981572
345033,増田　和啓,57,10,16,31,57,0.17543859649122806,0.2807017543859649,0.543859649122807,0.3067088730963752,0.9998664685304478,0.6507475194685167,0.9972659797981572
346803,吉澤ホールディングス,112,27,29,56,110,0.24107142857142858,0.25892857142857145,0.5,0.8025983926857916,0.9998664685304478,0.8343062605448093,0.9972659797981572
350002,宮川　純造,69,13,26,30,57,0.18840579710144928,0.37681159420289856,0.43478260869565216,0.3730019208116737,0.9998664685304478,0.09351837503171073,0.8172343022982282
353803,ＧＥＴ　ＮＥＸＴ,55,8,22,25,53,0.14545454545454545,0.4,0.45454545454545453,0.1440117532050577,0.9177326475544092,0.06515197419737467,0.796902167102681
356002,竹園　正繼,165,37,49,79,142,0.22424242424242424,0.296969696969697,0.47878787878787876,0.6794234000344652,0.9998664685304478,0.5230192304760257,0.9972659797981572
356803,インゼルレーシング,67,9,18,40,57,0.13432835820895522,0.26865671641791045,0.5970149253731343,0.0723784902674057,0.8744151555077834,0.7322126580892581,0.9972659797981572
367008,吉澤　克己,139,29,50,60,134,0.20863309352517986,0.3597122302158273,0.4316546762589928,0.5005380613224772,0.9998664685304478,0.06344735538207942,0.796902167102681
367800,グランド牧場,50,14,14,22,39,0.28,0.28,0.44,0.9053058996338411,0.9998664685304478,0.651872817312976,0.9972659797981572
370008,岡　浩二,200,35,69,96,163,0.175,0.345,0.48,0.10905310729613833,0.8744151555077834,0.07813014899004092,0.796902167102681
371009,高橋　文男,50,13,18,19,49,0.26,0.36,0.38,0.8387086517562286,0.9998664685304478,0.2014736838134098,0.8847322637023648
372006,近藤　英子,126,32,38,56,111,0.25396825396825395,0.30158730158730157,0.4444444444444444,0.889989629472265,0.9998664685304478,0.4828027178812585,0.9972659797981572
372008,三宅　勝俊,57,10,16,31,46,0.17543859649122806,0.2807017543859649,0.543859649122807,0.3067088730963752,0.9998664685304478,0.6507475194685167,0.9972659797981572
373008,中村　祐子,67,16,20,31,67,0.23880597014925373,0.29850746268656714,0.4626865671641791,0.7528214088860081,0.9998664685304478,0.5309954969301471,0.9972659797981572
373800,大野商事,94,19,33,42,67,0.20212765957446807,0.35106382978723405,0.44680851063829785,0.4583853001009067,0.9998664685304478,0.14765493075518543,0.8371640023788656
382004,永井　啓弍,268,61,78,129,237,0.22761194029850745,0.291044776119403,0.48134328358208955,0.7491680461402432,0.9998664685304478,0.5988693497915143,0.9972659797981572
398002,近藤　利一,238,41,76,121,176,0.1722689075630252,0.31932773109243695,0.5084033613445378,0.07076025728486057,0.8744151555077834,0.23940790986315982,0.9972659797981572
398030,保坂　和孝,97,26,22,49,97,0.26804123711340205,0.2268041237113402,0.5051546391752577,0.9235446307273553,0.9998664685304478,0.949618126143233,0.9972659797981572
399009,嶋田　賢,150,28,43,79,118,0.18666666666666668,0.2866666666666667,0.5266666666666666,0.250144820641858,0.9998664685304478,0.6329386531132866,0.9972659797981572
399030,久米田　正明,63,16,18,29,59,0.25396825396825395,0.2857142857142857,0.4603174603174603,0.8300838816265168,0.9998664685304478,0.6203206675230564,0.9972659797981572
399803,ライフハウス,79,20,23,36,76,0.25316455696202533,0.2911392405063291,0.45569620253164556,0.8443980393716903,0.9998664685304478,0.5829239305021422,0.9972659797981572
415800,社台レースホース,1699,373,526,800,1546,0.21954090641553856,0.3095938787522072,0.47086521483225424,0.7591801747359544,0.9998664685304478,0.12247336732225222,0.8371640023788656
427030,前原　敏行,109,24,26,59,100,0.22018348623853212,0.23853211009174313,0.5412844036697247,0.6268500717996408,0.9998664685304478,0.9258092966936922,0.9972659797981572
431002,馬場　幸夫,158,34,37,87,125,0.21518987341772153,0.23417721518987342,0.5506329113924051,0.573875521025068,0.9998664685304478,0.9664327970885356,0.9972659797981572
441007,野田　みづき,232,52,74,106,216,0.22413793103448276,0.31896551724137934,0.45689655172413796,0.6952016961041534,0.9998664685304478,0.24643486185866748,0.9972659797981572
463800,名古屋友豊,96,19,30,47,88,0.19791666666666666,0.3125,0.4895833333333333,0.41670208643156753,0.9998664685304478,0.4021536178892961,0.9972659797981572
464030,田畑　利彦,141,22,48,71,105,0.15602836879432624,0.3404255319148936,0.5035460992907801,0.057231537564917945,0.8744151555077834,0.14652743573544916,0.8371640023788656
471002,海原　聖一,52,8,20,24,49,0.15384615384615385,0.38461538461538464,0.46153846153846156,0.19415212148530664,0.9804682135007985,0.1089273073347493,0.8172343022982282
482002,水上　行雄,119,31,33,55,116,0.2605042016806723,0.2773109243697479,0.46218487394957986,0.9138291114515569,0.9998664685304478,0.7077017907159677,0.9972659797981572
486800,キャロットファーム,1955,474,571,910,1713,0.24245524296675192,0.2920716112531969,0.46547314578005117,0.9992542998669213,0.9998664685304478,0.670584656840445,0.9972659797981572
491030,藤田　在子,63,13,15,35,44,0.20634920634920634,0.23809523809523808,0.5555555555555556,0.5227383172927027,0.9998664685304478,0.8767621993552978,0.9972659797981572
494800,ウイン,366,86,111,169,314,0.23497267759562843,0.30327868852459017,0.46174863387978143,0.8631270561329909,0.9998664685304478,0.4059153697981801,0.9972659797981572
500007,沼川　一彦,73,22,23,28,63,0.3013698630136986,0.3150684931506849,0.3835616438356164,0.9728991771895957,0.9998664685304478,0.4061664284789599,0.9972659797981572
506800,シルクレーシング,1687,402,512,773,1534,0.23829282750444578,0.3034973325429757,0.4582098399525785,0.9946105690205812,0.9998664685304478,0.2697557921719291,0.9972659797981572
514008,窪田　康志,185,41,55,89,143,0.22162162162162163,0.2972972972972973,0.4810810810810811,0.6535629107967289,0.9998664685304478,0.517124885730416,0.9972659797981572
515800,タマモ,183,43,60,80,167,0.23497267759562843,0.32786885245901637,0.4371584699453552,0.7956770929204741,0.9998664685304478,0.196510797322986,0.8847322637023648
523005,松本　好雄,904,191,254,459,798,0.21128318584070796,0.2809734513274336,0.5077433628318584,0.4726543536892413,0.9998664685304478,0.8538152618953835,0.9972659797981572
524030,鈴木　邦英,55,11,22,22,53,0.2,0.4,0.4,0.48539200199943167,0.9998664685304478,0.06515197419737467,0.796902167102681
534006,寺田　千代乃,128,29,38,61,120,0.2265625,0.296875,0.4765625,0.6920987494315354,0.9998664685304478,0.5286765355176859,0.9972659797981572
535031,近藤　旬子,133,26,47,60,128,0.19548872180451127,0.3533834586466165,0.45112781954887216,0.3570979645755747,0.9998664685304478,0.0909456827540653,0.8172343022982282
536800,大樹ファーム,120,16,34,70,114,0.13333333333333333,0.2833333333333333,0.5833333333333334,0.01793039640631211,0.6036566790125076,0.6561158749259323,0.9972659797981572
538009,山岡　良一,63,11,15,37,55,0.1746031746031746,0.23809523809523808,0.5873015873015873,0.2850256764908321,0.9998664685304478,0.8767621993552978,0.9972659797981572
539002,廣崎　利洋,59,13,19,27,47,0.22033898305084745,0.3220338983050847,0.4576271186440678,0.6279807602445522,0.9998664685304478,0.37980646454147143,0.9972659797981572
542800,ライオンレースホース,311,63,90,158,286,0.20257234726688103,0.28938906752411575,0.5080385852090032,0.3582775564062642,0.9998664685304478,0.6275534125530686,0.9972659797981572
546800,サラブレッドクラブ・ラフィアン,608,109,215,284,544,0.17927631578947367,0.3536184210526316,0.46710526315789475,0.02251143271197386,0.6496156296883885,0.0013481297013274768,0.2723221996681503
547800,ヒダカ・ブリーダーズ・ユニオン,308,75,81,152,245,0.2435064935064935,0.262987012987013,0.4935064935064935,0.9149502289249344,0.9998664685304478,0.9121587021206821,0.9972659797981572
553800,広尾レース,159,27,44,88,136,0.16981132075471697,0.27672955974842767,0.5534591194968553,0.10733700825972514,0.8744151555077834,0.7332678968783829,0.9972659797981572
587008,大城　敬三,108,21,27,60,74,0.19444444444444445,0.25,0.5555555555555556,0.37064899255889483,0.9998664685304478,0.8784445240188554,0.9972659797981572
619800,ダノックス,554,125,175,254,491,0.22563176895306858,0.315884476534296,0.4584837545126354,0.7849980194032895,0.9998664685304478,0.16901158396876126,0.8753933323510199
628007,中西　忍,55,12,21,22,52,0.21818181818181817,0.38181818181818183,0.4,0.6140903348013289,0.9998664685304478,0.10918042197749928,0.8172343022982282
629007,西川　光一,71,17,14,40,62,0.23943661971830985,0.19718309859154928,0.5633802816901409,0.7599257636887145,0.9998664685304478,0.9785854364303335,0.9972659797981572
629800,ミルファーム,168,21,57,90,160,0.125,0.3392857142857143,0.5357142857142857,0.0023225212010527293,0.23457464130632566,0.12927142343146533,0.8371640023788656
646030,中辻　明,83,21,20,42,82,0.25301204819277107,0.24096385542168675,0.5060240963855421,0.8478094481363675,0.9998664685304478,0.8917743675065269,0.9972659797981572
672033,加藤　和夫,51,18,10,23,47,0.35294117647058826,0.19607843137254902,0.45098039215686275,0.9933360423953768,0.9998664685304478,0.9621187118040481,0.9972659797981572
674004,森中　蕃,114,21,30,63,107,0.18421052631578946,0.2631578947368421,0.5526315789473685,0.2677144861985319,0.9998664685304478,0.8096640166002983,0.9972659797981572
675030,林　正道,309,71,102,136,285,0.2297734627831715,0.3300970873786408,0.4401294498381877,0.7881579123405633,0.9998664685304478,0.1092342879309513,0.8172343022982282
677009,西森　鶴,54,19,15,20,46,0.35185185185185186,0.2777777777777778,0.37037037037037035,0.9941163881571181,0.9998664685304478,0.6670085396558887,0.9972659797981572
679800,湘南,72,10,29,33,72,0.1388888888888889,0.4027777777777778,0.4583333333333333,0.07753311799794335,0.8744151555077834,0.03489255707932658,0.6407542300021789
686006,平井　裕,153,33,47,73,138,0.21568627450980393,0.30718954248366015,0.477124183006536,0.5799904057882361,0.9998664685304478,0.4148680591314047,0.9972659797981572
695004,内村　正則,91,17,20,54,82,0.18681318681318682,0.21978021978021978,0.5934065934065934,0.3228443909602706,0.9998664685304478,0.9601343499163737,0.9972659797981572
708800,金子真人ホールディングス,789,197,253,339,712,0.24968314321926488,0.320659062103929,0.4296577946768061,0.9942400230565394,0.9998664685304478,0.07389851024790046,0.796902167102681
712800,オースミ,92,18,30,44,77,0.1956521739130435,0.32608695652173914,0.4782608695652174,0.40007556628422053,0.9998664685304478,0.30136971787108524,0.9972659797981572
716800,ビッグレッドファーム,311,64,101,146,277,0.2057877813504823,0.3247588424437299,0.4694533762057878,0.4115915268906775,0.9998664685304478,0.15092817371915082,0.8371640023788656
727008,谷掛　龍夫,119,19,37,63,115,0.15966386554621848,0.31092436974789917,0.5294117647058824,0.0927343764977574,0.8744151555077834,0.3977646225599355,0.9972659797981572
731006,福井　明,52,14,16,22,47,0.2692307692307692,0.3076923076923077,0.4230769230769231,0.875747622953913,0.9998664685304478,0.4811910710823536,0.9972659797981572
748009,森　保彦,52,7,19,26,52,0.1346153846153846,0.36538461538461536,0.5,0.10953793394409803,0.8744151555077834,0.17354291000925298,0.8763916955467275
755030,吉木　伸彦,50,13,18,19,49,0.26,0.36,0.38,0.8387086517562286,0.9998664685304478,0.2014736838134098,0.8847322637023648
758005,吉田　照哉,439,102,108,229,399,0.23234624145785876,0.2460136674259681,0.5216400911161732,0.8540362613879394,0.9998664685304478,0.9918183103464812,0.9972659797981572
783033,原村　正紀,85,17,20,48,81,0.2,0.23529411764705882,0.5647058823529412,0.4473658706650783,0.9998664685304478,0.914412127051336,0.9972659797981572
785800,栄進堂,284,56,76,152,234,0.19718309859154928,0.2676056338028169,0.5352112676056338,0.2863452097833403,0.9998664685304478,0.8708433178526606,0.9972659797981572
788800,ノースヒルズ,649,115,219,315,591,0.17719568567026195,0.337442218798151,0.48536209553158705,0.01355007081450268,0.577614325305181,0.013052055101506765,0.6407542300021789
790005,吉田　勝己,779,177,264,338,712,0.22721437740693196,0.33889602053915274,0.4338896020539153,0.8464182343648418,0.9998664685304478,0.00569152706043672,0.5748442331041087
790031,里見　治,128,22,37,69,113,0.171875,0.2890625,0.5390625,0.1522043296549891,0.9177326475544092,0.6049866078866778,0.9972659797981572
794002,里見　治,168,35,53,80,108,0.20833333333333334,0.31547619047619047,0.47619047619047616,0.4874420059420851,0.9998664685304478,0.32070061051246906,0.9972659797981572
798008,一村　哲也,86,16,21,49,63,0.18604651162790697,0.2441860465116279,0.5697674418604651,0.3242414286620976,0.9998664685304478,0.8821740430492631,0.9972659797981572
808800,Ｇ１レーシング,784,174,225,385,709,0.22193877551020408,0.2869897959183674,0.49107142857142855,0.7479994218258611,0.9998664685304478,0.7300589671297161,0.9972659797981572
812008,石瀬　浩三,87,18,23,46,80,0.20689655172413793,0.26436781609195403,0.5287356321839081,0.5079713404252624,0.9998664685304478,0.77785058765552,0.9972659797981572
823800,ヒルノ,109,23,32,54,85,0.21100917431192662,0.29357798165137616,0.4954128440366973,0.5365423742045103,0.9998664685304478,0.5617563699923517,0.9972659797981572
831800,青芝商事,78,21,25,32,72,0.2692307692307692,0.32051282051282054,0.41025641025641024,0.9092527153239225,0.9998664685304478,0.36060190547590454,0.9972659797981572
