banusicode,banusiname,N,mean_residual,std_residual,mean_implied,actual_win_rate,promo_risk_count,t_stat,p_value,p_bh
755030,吉木　伸彦,50,-0.037954156701945164,0.42199769802620646,0.29795415670194514,0.26,49,-0.6359665397154758,0.26387882972670906,0.33852384010710374
758005,吉田　照哉,439,-0.02173710039055066,0.41269337730608363,0.2540833418484094,0.23234624145785876,399,-1.1035864808502522,0.13518924848541056,0.2071351726867045
783033,原村　正紀,85,-0.05773559866124292,0.39656645371735855,0.2577355986612429,0.2,81,-1.342261589794298,0.09156389622165047,0.16083397423281215
785800,栄進堂,284,-0.09477223280553725,0.4018100929559743,0.2919553313970865,0.19718309859154928,234,-3.974838073792697,4.4730126102811224e-05,0.0005469569824962199
788800,ノースヒルズ,649,-0.08823608707166916,0.3663493911670004,0.2654317727419311,0.17719568567026195,591,-6.13582712295084,7.374617547880224e-10,2.9793454893436105e-08
790005,吉田　勝己,779,-0.06820868792130436,0.40495492245245396,0.2954230653282363,0.22721437740693196,712,-4.7011243815474675,1.530035772605527e-06,4.415246086661663e-05
790031,里見　治,128,-0.08939995720268881,0.3693368507712082,0.2612749572026888,0.171875,113,-2.738543563960507,0.0035292103038381956,0.015168095348410968
794002,里見　治,168,-0.08999565730372355,0.39835950470562403,0.29832899063705687,0.20833333333333334,108,-2.928201848223524,0.0019427010769477164,0.010062195321626635
798008,一村　哲也,86,-0.060983817924831,0.39071681984201,0.24703032955273796,0.18604651162790697,63,-1.4474438598838326,0.07572544918066221,0.14295832462143707
808800,Ｇ１レーシング,784,-0.05706628082184506,0.4081661351642191,0.27900505633204914,0.22193877551020408,709,-3.914719339390538,4.9196034536442934e-05,0.0005520888320200818
812008,石瀬　浩三,87,-0.02353647962959471,0.402843232566658,0.23043303135373264,0.20689655172413793,80,-0.5449605437872342,0.2935955705486909,0.3638423635020587
823800,ヒルノ,109,-0.03729901884515755,0.3968117833369117,0.24830819315708416,0.21100917431192662,85,-0.9813549031996507,0.16430552036991342,0.23706939367658936
831800,青芝商事,78,-0.02013254433823375,0.41505379672059334,0.28936331356900297,0.2692307692307692,72,-0.42839221958911206,0.33478078425082813,0.38706957125934044
839004,上田　けい子,51,0.0039486320574788104,0.39057408091746315,0.23134548558958,0.23529411764705882,48,0.07219852675040639,0.5286340232709197,0.5620214352669778
849030,山口　功一郎,58,-0.047529191534509865,0.40152485419995204,0.2544257432586478,0.20689655172413793,57,-0.9014922360241231,0.1855600839927543,0.2549873263029685
851007,山上　和良,51,0.007814329309908961,0.43190058201340936,0.24708763147440477,0.2549019607843137,45,0.12920907219811728,0.5511447047651677,0.5798501581383536
851009,岡田　牧雄,286,-0.04581773795604471,0.3953477094719034,0.24511843725674404,0.1993006993006993,239,-1.9599158885965537,0.025489954155820817,0.0677496149931027
851800,フジイ興産,60,-0.03773965950295562,0.4384275394216048,0.27107299283628894,0.23333333333333334,60,-0.6667695781123321,0.25375927857468245,0.32858573251337087
854800,ノルマンディーサラブレッドレーシング,500,-0.0390456597344777,0.40235757681361906,0.2590456597344777,0.22,427,-2.169929297319082,0.015241657987050102,0.04822803884461215
855030,田頭　勇貴,80,-0.06398361097522286,0.3618478740653531,0.22648361097522285,0.1625,60,-1.581567435829785,0.05887199272061311,0.12012265181377625
858800,大塚　亮一,176,-0.06566754043667332,0.3857574342909057,0.2645311768003097,0.19886363636363635,161,-2.258357954233946,0.012579087482051828,0.04306738426058423
